"uid","school_name","date","year","time","day_of_week","city","state","school_type","enrollment","killed","injured","casualties","shooting_type","age_shooter1","gender_shooter1","race_ethnicity_shooter1","shooter_relationship1","shooter_deceased1","deceased_notes1","age_shooter2","gender_shooter2","race_ethnicity_shooter2","shooter_relationship2","shooter_deceased2","deceased_notes2","white","black","hispanic","asian","american_indian_alaska_native","hawaiian_native_pacific_islander","two_or_more","resource_officer","weapon","weapon_source","lat","long","low_grade","high_grade","county","school","id"
146,"Ronald E. McNair Discovery Learning Academy","8/20/2013",2013,12:51:00,"Tuesday","Decatur","Georgia","public",822,0,0,0,"targeted and indiscriminate",20,"m","w","none apparent",0,NA,NA,NA,NA,NA,NA,NA,9,786,23,0,0,0,4,0,".762-caliber AK-47-style weapon, manufactured by Romarm/Cugar","acquaintence of shooter",33.7273,-84.3068,"PK","5","Dekalb County","Elementary",147
147,"Carver High School","8/30/2013",2013,14:25:00,"Friday","Winston-Salem","North Carolina","public",565,0,1,1,"targeted",18,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,23,411,96,4,2,1,28,1,".38 caliber handgun",NA,36.1343,-80.2066,"9","12","Forsyth County","High",148
148,"Agape Christian Academy","10/4/2013",2013,14:00:00,"Friday","Pine Hills","Florida","private",331,0,2,2,"targeted",NA,NA,NA,"none",0,NA,NA,NA,NA,NA,NA,NA,3,259,4,0,0,65,0,0,NA,NA,28.57586,-81.475051,"K","12","Orange County","Elementary",149
149,"Lanier High School","10/15/2013",2013,12:04:00,"Tuesday","Austin","Texas","public",1554,0,0,0,"public suicide",16,"m","h","student",1,"suicide",NA,NA,NA,NA,NA,NA,61,138,1273,51,15,0,16,1,"handgun",NA,30.3606,-97.708,"9","12","Travis County","High",150
150,"Sparks Middle School","10/21/2013",2013,07:15:00,"Monday","Sparks","Nevada","public",721,1,2,3,"indiscriminate",12,"m","h","student",1,"suicide",NA,NA,NA,NA,NA,NA,146,13,501,26,4,9,22,0,"Ruger SR9C semi-automatic handgun (9mm)","father",39.5517,-119.7694,"7","8","Washoe County","Middle",151
151,"Newman Elementary School","10/23/2013",2013,11:14:00,"Wednesday","Chino","California","public",745,0,3,3,"accidental",8,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,75,17,627,21,0,0,5,1,"AR-15","police weapon",34.0271,-117.7144,"KG","6","San Bernardino County","Elementary",152
152,"West Orange High School","12/4/2013",2013,13:15:00,"Wednesday","Winter Garden","Florida","public",3749,0,1,1,"targeted",17,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,1927,594,898,211,28,11,80,1,NA,NA,28.5428,-81.5673,"9","12","Orange County","High",153
153,"Arapahoe High School","12/13/2013",2013,12:30:00,"Friday","Centennial","Colorado","public",2273,1,0,1,"targeted",18,"m","w","student",1,"suicide",NA,NA,NA,NA,NA,NA,1879,26,225,57,9,3,74,1,"Savage Arms Stevens Model 320 pump-action shotgun","legally purchased by shooter at Cabela's",39.5817,-104.9628,"9","12","Arapahoe County","High",154
154,"Liberty Technology Magnet High School","1/9/2014",2014,14:21:00,"Thursday","Jackson","Tennessee","public",802,0,1,1,"targeted",16,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,275,503,15,2,2,0,5,0,"handgun",NA,35.675,-88.7593,"9","12","Madison County","High",155
155,"Berrendo Middle School","1/14/2014",2014,07:30:00,"Tuesday","Roswell","New Mexico","public",632,0,3,3,"targeted",12,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,311,6,302,9,1,2,1,1,"shotgun",NA,33.4736,-104.5115,"6","8","Chaves County","Middle",156
156,"King Elementary School","1/15/2014",2014,14:48:00,"Wednesday","Lancaster","Pennsylvania","public",540,0,0,0,"unclear",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,20,69,425,7,0,0,19,1,"handgun",NA,40.0344,-76.2998,"PK","5","Lancaster County","Elementary",157
157,"Delaware Valley Charter School","1/17/2014",2014,15:20:00,"Friday","Philadelphia","Pennsylvania","public",680,0,2,2,"accidental or targeted",17,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,0,675,5,0,0,0,0,1,"handgun","purchased from friend",40.0331,-75.1446,"9","12","Philadelphia County","High",158
158,"Rebound High School","1/27/2014",2014,12:00:00,"Monday","Carbondale","Illinois","public",100,0,1,1,"targeted",18,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"handgun",NA,37.727439,-89.227812,"9","12","Jackson County","High",159
159,"President Theodore Roosevelt High","1/28/2014",2014,08:30:00,"Tuesday","Honolulu","Hawaii","public",1416,0,1,1,"targeted",NA,NA,NA,"police officer",0,NA,NA,NA,NA,NA,NA,NA,72,17,36,846,6,338,97,0,NA,"department issued",21.3104,-157.8372,"9","12","Honolulu County","High",160
160,"Bend High School","2/7/2014",2014,12:00:00,"Friday","Bend","Oregon","public",1642,0,0,0,"public suicide",17,"m",NA,"student",1,"suicide",NA,NA,NA,NA,NA,NA,1368,21,180,25,23,4,21,0,"hunting rifle","legally owned by shooter",44.0523,-121.2959,"9","12","Deschutes County","High",161
161,"Salisbury High School","2/10/2014",2014,14:41:00,"Monday","Salisbury","North Carolina","public",858,0,1,1,"targeted",17,"m","b",NA,0,NA,NA,NA,NA,NA,NA,NA,274,399,140,22,5,0,18,1,"9mm gun (type unknown)",NA,35.6648,-80.4849,"9","12","Rowan County","High",162
162,"Success Academy","2/20/2014",2014,10:30:00,"Thursday","Raytown","Missouri","public",175,1,0,1,"targeted",42,"m","b","father of student",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,".45-caliber handgun","legally purchased at pawn shop that morning",39.094,-94.5688,"KG","12","Jackson County","Junior-High",163
163,"Benjamin Banneker High School","3/25/2014",2014,13:00:00,"Tuesday","College Park","Georgia","public",1537,0,0,0,"targeted",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3,1483,41,2,1,0,7,1,NA,NA,33.593,-84.5176,"9","12","Fulton County","High",164
164,"D. H. Conley High School","4/9/2014",2014,13:30:00,"Wednesday","Greenville","North Carolina","public",1591,0,0,0,"indiscriminate",17,"m","b","student at rival school",0,NA,17,"m","w","student at rival school",0,NA,973,395,138,27,5,0,53,0,".45-caliber handgun",NA,35.5306,-77.3248,"9","12","Pitt County","High",165
165,"Reynolds High School","6/10/2014",2014,08:07:00,"Tuesday","Troutdale","Oregon","public",2806,1,1,2,"indiscriminate",15,"m","w","student",1,"suicide",NA,NA,NA,NA,NA,NA,1208,231,917,263,21,41,125,1,"M4 AR-15 rifle","brother",45.5285,-122.4026,"9","12","Multnomah County","High",166
166,"Stellar Leadership Academy","9/9/2014",2014,NA,"Tuesday","Miami","Florida","public",233,0,1,1,"targeted",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,204,29,0,0,0,0,0,NA,NA,25.84814,-80.243461,"9","12","Miami-Dade County","High",167
167,"Fern Creek High School","9/30/2014",2014,13:00:00,"Tuesday","Louisville","Kentucky","public",1545,0,1,1,"targeted",16,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,716,577,136,73,1,1,41,1,"handgun",NA,38.156605,-85.592357,"9","12","Jefferson County","High",168
168,"Albemarle High School","9/30/2014",2014,07:40:00,"Tuesday","Albemarle","North Carolina","public",464,0,1,1,"targeted",15,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,199,180,30,23,3,0,29,1,"handgun",NA,35.371268,-80.193152,"9","12","Stanly County","High",169
169,"Marysville Pilchuck High School","10/24/2014",2014,10:39:00,"Friday","Marysville","Washington","public",1253,4,1,5,"targeted",15,"m","n","student",1,"suicide",NA,NA,NA,NA,NA,NA,736,25,250,46,77,1,118,1,".40-caliber Beretta Px4 Storm handgun","father",48.09582,-122.154021,"9","12","Snohomish County","High",170
170,"Hand in Hand Montessori","1/26/2015",2015,15:07:00,"Monday","Roseville","Minnesota","private",288,0,0,0,"indiscriminate",48,"m",NA,NA,1,"suicide",NA,NA,NA,NA,NA,NA,178,5,3,12,0,0,0,0,NA,NA,45.004709,-93.177024,"PK","8","Ramsey County","Elementary",171
171,"North Thurston High School","4/27/2015",2015,07:25:00,"Monday","Lacey","Washington","public",1477,0,0,0,"indiscriminate",16,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,842,73,237,165,22,22,116,1,".357 Magnum","father",47.051956,-122.83241,"9","12","Thurston County","High",172
172,"W.S. Hornsby Elementary School","8/25/2015",2015,10:45:00,"Tuesday","Augusta","Georgia","public",742,0,1,1,"accidental",NA,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,12,717,3,0,0,2,8,1,".380 semi-automatic handgun","grandmother's boyfriend",33.459564,-81.937992,"PK","5","Richmond County","Elementary",173
173,"Harrisburg High School","9/30/2015",2015,10:00:00,"Wednesday","Harrisburg","South Dakota","public",802,0,1,1,"targeted",16,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,738,12,17,9,10,0,16,0,"handgun",NA,43.43212,-96.6998,"9","12","Lincoln County","High",174
174,"Karen Wagner High School","10/15/2015",2015,09:15:00,"Thursday","San Antonio","Texas","public",2260,0,0,0,"targeted",22,"f","b","friend of student",0,NA,NA,NA,NA,NA,NA,NA,203,678,1299,38,5,3,34,1,NA,NA,29.45738,-98.3578,"9","12","Bexar County","High",175
175,"Vereen School","11/5/2015",2015,NA,"Thursday","Moultrie","Georgia","public",40,0,0,0,"targeted",NA,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"semiautomatic pistol","department issued",31.175943,-83.804368,NA,NA,"Colquitt County","Elementary",176
176,"Lecanto High School","11/10/2015",2015,10:30:00,"Tuesday","Lecanto","Florida","public",1567,0,0,0,"public suicide",15,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,1243,72,132,59,12,1,48,1,"Walther P1 9mm semiautomatic handgun",NA,28.824494,-82.499153,"9","12","Citrus County","High",177
177,"Harmony Grove High School","1/13/2016",2016,15:00:00,"Wednesday","Camden","Arkansas","public",393,0,1,1,"accidental",17,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,294,69,20,3,0,1,6,0,"pistol",NA,33.6514,-92.7796,"7","12","Ouachita County","High",178
178,"Benjamin Franklin High School","1/29/2016",2016,12:00:00,"Friday","Philadelphia","Pennsylvania","public",612,0,0,0,"targeted",16,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9,516,46,31,1,0,9,0,".45-caliber handgun",NA,39.96367,-75.162,"9","12","Philadelphia County","High",179
179,"Independence High School","2/12/2016",2016,07:53:00,"Friday","Glendale","Arizona","public",2114,1,0,1,"targeted",15,"f",NA,"student",1,"suicide",NA,NA,NA,NA,NA,NA,247,190,1535,42,29,3,68,0,"9mm Beretta pistol","classmate, who took from parents",33.53216,-112.221,"9","12","Maricopa County","High",180
180,"Madison High School","2/29/2016",2016,11:15:00,"Monday","Middletown","Ohio","public",1543,0,4,4,"indiscriminate",14,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,1495,9,13,2,0,3,21,1,"Sig Sauer P238","family home",39.53385,-84.4433,"9","12","Butler County","High",181
181,"Huffman High School","3/15/2016",2016,14:30:00,"Tuesday","Birmingham","Alabama","public",1433,0,1,1,"targeted",19,"m","b","brother of student",0,NA,NA,NA,NA,NA,NA,NA,13,1341,63,2,6,0,8,1,NA,NA,33.61291,-86.682,"9","12","Jefferson County","High",182
182,"Alpine High School","9/8/2016",2016,09:00:00,"Thursday","Alpine","Texas","public",292,0,1,1,"targeted",14,"f",NA,"student",1,"suicide",NA,NA,NA,NA,NA,NA,97,2,190,1,0,1,1,0,"9-mm. semi-automatic handgun",NA,30.371983,-103.665798,"9","12","Brewster County","High",183
183,"Townville Elementary School","9/28/2016",2016,13:45:00,"Wednesday","Townville","South Carolina","public",295,1,2,3,"indiscriminate",14,"m","w","former student",0,NA,NA,NA,NA,NA,NA,NA,265,13,3,2,0,1,11,0,".40 caliber pistol","father",34.56311,-82.903471,"PK","6","Anderson County","Elementary",184
184,"CF Vigor High School","10/11/2016",2016,15:45:00,"Tuesday","Prichard","Alabama","public",710,0,1,1,"targeted",16,"m","b",NA,0,NA,NA,NA,NA,NA,NA,NA,13,693,2,0,1,0,1,1,NA,NA,30.743233,-88.080692,"9","12","Mobile County","High",185
185,"Linden-McKinley STEM Academy","10/13/2016",2016,14:40:00,"Thursday","Columbus","Ohio","public",719,0,2,2,"targeted",NA,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,56,582,35,2,1,0,43,1,NA,NA,40.00952,-82.974011,"7","12","Franklin County","High",186
186,"June Jordan High School for Equity","10/18/2016",2016,15:20:00,"Tuesday","San Francisco","California","public",258,0,4,4,"targeted",NA,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,8,48,157,28,1,5,11,0,"pistols",NA,37.719558,-122.425241,"9","12","San Francisco County","High",187
187,"Union Middle School","10/25/2016",2016,15:00:00,"Tuesday","Sandy","Utah","public",907,0,1,1,"targeted",14,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,592,15,226,16,5,21,32,1,NA,"mother",40.60715,-111.873061,"6","8","Salt Lake County","Middle",188
188,"Bay City Western High School","11/11/2016",2016,12:30:00,"Friday","Auburn","Michigan","public",1256,0,1,1,"accidental",50,"m","w","resource officer",0,NA,NA,NA,NA,NA,NA,NA,1176,6,36,10,4,0,24,1,".380-caliber Sig Sauer pistol","legally purchased by shooter",43.60478,-84.0783,"9","12","Bay County","High",189
189,"Mueller Park Jr. High","12/1/2016",2016,08:13:00,"Thursday","Bountiful","Utah","public",813,0,0,0,"indiscriminate",15,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,661,14,78,17,2,19,22,1,"12-gauge shotgun","parent",40.872489,-111.861172,"7","9","Davis County","High",190
190,"West Liberty-Salem Middle/High School","1/20/2017",2017,07:36:00,"Friday","West Liberty","Ohio","public",622,0,2,2,"indiscriminate",17,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,590,1,3,3,1,1,23,0,"Mossberg Model 500 12 gauge shotgun","gift from grandparents",40.21594,-83.756761,"6","12","Champaign County","High",191
191,"Scotlandville Magnet High School","2/6/2017",2017,12:00:00,"Monday","Baton Rouge","Louisiana","public",1388,0,0,0,"targeted",14,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,10,1370,4,0,0,0,4,1,"handgun",NA,30.53365,-91.177851,"8","12","East Baton Rouge Parish","High",192
238,"Robert E. Lee High School","3/16/2017",2017,15:00:00,"Thursday","Montgomery","Alabama","public",1514,0,1,1,"targeted",16,"m","m","student",NA,NA,NA,NA,NA,NA,NA,NA,132,1253,90,20,2,0,17,0,".40-caliber handgun",NA,32.378702,-86.271649,"9","12","Montgomery County","High",193
192,"North Park Elementary School","4/10/2017",2017,10:30:00,"Monday","San Bernardino","California","public",531,2,1,3,"targeted",53,"m","b","husband of teacher",1,"suicide",NA,NA,NA,NA,NA,NA,61,60,360,9,3,0,38,0,"Smith & Wesson .357 Magnum revolver",NA,34.179206,-117.301804,"KG","6","San Bernardino County","Elementary",194
193,"Moss Bluff Elementary School","5/15/2017",2017,07:50:00,"Monday","Lake Charles","Louisiana","public",963,0,1,1,"accidental",7,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,754,118,36,14,2,0,39,0,".380 caliber semi-automatic handgun","father's gun, kept by 17 year old who shared room with shooter",30.29966,-93.2032,"PK","5","Calcasieu Parish","Elementary",195
194,"Greensboro High School","5/24/2017",2017,11:30:00,"Wednesday","Greensboro","Alabama","public",464,0,0,0,"targeted",NA,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,3,457,1,0,0,0,3,0,".22 caliber revolver",NA,32.70713,-87.589,"9","12","Hale County","High",196
195,"Warren Elementary School","6/16/2017",2017,13:51:00,"Friday","Chicago","Illinois","public",280,0,2,2,"targeted",NA,"m","b",NA,0,NA,NA,NA,NA,NA,NA,NA,0,275,4,0,0,0,1,1,NA,NA,41.726922,-87.575184,"PK","8","Cook County","Elementary",197
196,"Columbus Scioto 6-12","9/8/2017",2017,08:33:00,"Friday","Columbus","Ohio","public",127,0,0,0,"indiscriminate",18,"m","b",NA,0,NA,NA,NA,NA,NA,NA,NA,46,71,4,0,0,0,6,0,".38-caliber handgun",NA,39.90163,-82.9958,"6","12","Franklin County","High",198
197,"Freeman High School","9/13/2017",2017,10:00:00,"Wednesday","Rockford","Washington","public",330,1,3,4,"indiscriminate",15,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,282,7,23,5,4,0,9,1,"AR-15, pistol","father",47.519667,-117.19638,"9","12","Spokane County","High",199
198,"Mattoon High School","9/20/2017",2017,11:30:00,"Wednesday","Mattoon","Illinois","public",1047,0,1,1,"targeted",14,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,931,36,40,9,1,1,29,1,".40-caliber Ruger semiautomatic pistol","stepfather",39.474405,-88.386955,"9","12","Coles County","High",200
199,"Pattengill Academy","11/3/2017",2017,16:30:00,"Friday","Lansing","Michigan","public",506,0,1,1,"accidental",21,"m","b",NA,0,NA,NA,NA,NA,NA,NA,NA,135,180,125,11,4,0,51,0,"handgun","puchased legally by shooter from Dicker & Deal",42.73889,-84.5243,"4","6","Ingham County","Elementary",201
200,"Benjamin Banneker High School","11/9/2017",2017,15:25:00,"Thursday","College Park","Georgia","public",1547,0,2,2,"accidental",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,6,1478,49,2,1,0,11,1,"small-caliber handgun",NA,33.59297,-84.5176,"9","12","Fulton County","High",202
201,"Rancho Tehama Elementary School","11/14/2017",2017,07:50:00,"Tuesday","Corning","California","public",101,0,2,2,"targeted and indiscriminate",44,"m","w","had beef with family of student at school",1,"suicide",NA,NA,NA,NA,NA,NA,44,2,49,3,2,0,1,0,"handmade AR-15-type rifle","contructed from parts legally purchased by shooter",40.015716,-122.398455,"KG","5","Tehama County","Elementary",203
202,"Aztec High School","12/7/2017",2017,08:04:00,"Thursday","Aztec","New Mexico","public",905,2,0,2,"indiscriminate",21,"m","w","former student",1,"suicide",NA,NA,NA,NA,NA,NA,495,7,225,2,170,2,4,0,"9mm Glock","legally purchased by shooter",36.820644,-107.990379,"9","12","San Juan County","High",204
203,"High Point Central High School","12/11/2017",2017,14:08:00,"Monday","High Point","North Carolina","public",1442,0,0,0,"targeted",15,"m","b",NA,0,NA,NA,NA,NA,NA,NA,NA,437,589,216,147,6,0,47,1,"handgun",NA,35.95795,-80.0231,"9","12","Guilford County","High",205
205,"The NET Charter High School","1/22/2018",2018,13:30:00,"Monday","New Orleans","Louisiana","public",172,0,0,0,"targeted",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,5,151,16,0,0,0,0,0,NA,NA,29.93996,-90.079691,"9","12","Orleans Parish","High",206
204,"Italy High School","1/22/2018",2018,07:53:00,"Monday","Italy","Texas","public",288,0,1,1,"targeted",16,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,141,43,94,0,0,0,10,0,"semi-automatic .380 caliber handgun",NA,32.181129,-96.878968,"6","12","Ellis County","High",207
206,"Marshall County High School","1/23/2018",2018,07:57:00,"Tuesday","Benton","Kentucky","public",1384,2,14,16,"indiscriminate",15,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,1353,1,14,2,3,0,11,1,"handgun","stepfather's bedroom",36.912835,-88.332917,"9","12","Marshall County","High",208
207,"Murphy High School","1/25/2018",2018,11:20:00,"Thursday","Mobile","Alabama","public",2100,0,0,0,"targeted",16,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,402,1565,62,42,3,2,24,1,"revolver","stolen",30.6828,-88.0867,"9","12","Mobile County","High",209
208,"Salvador B. Castro Middle School","2/1/2018",2018,09:00:00,"Thursday","Los Angeles","California","public",345,0,5,5,"accidental",12,"f",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,2,8,311,21,0,0,3,0,"semi-automatic handgun",NA,34.06169,-118.265,"6","8","Los Angeles County","Middle",210
209,"Marjory Stoneman Douglas High School","2/14/2018",2018,14:21:00,"Wednesday","Parkland","Florida","public",3158,17,17,34,"indiscriminate",19,"m","w","former student (expelled)",0,NA,NA,NA,NA,NA,NA,NA,1871,364,623,210,17,2,71,1,"Smith & Wesson M&P15","legally purchased by shooter",26.304483,-80.269365,"9","12","Broward County","High",211
210,"Dalton High School","2/28/2018",2018,11:30:00,"Wednesday","Dalton","Georgia","public",1829,0,0,0,"indiscriminate",53,"m","w","teacher",0,NA,NA,NA,NA,NA,NA,NA,458,103,1192,36,2,0,38,1,".38-caliber snub-nosed revolver",NA,34.77972,-84.99053,"9","12","Whitfield County","High",212
211,"Huffman High School","3/7/2018",2018,15:45:00,"Wednesday","Birmingham","Alabama","public",1433,1,0,1,"accidental",17,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,13,1341,63,2,6,0,8,1,"pistol",NA,33.61291,-86.682,"9","12","Jefferson County","High",213
212,"Seaside High School","3/13/2018",2018,13:20:00,"Tuesday","Seaside","California","public",1059,0,3,3,"accidental",NA,"m","w","teacher",0,NA,NA,NA,NA,NA,NA,NA,113,79,680,107,1,35,44,0,"Glock 21 .45-caliber handgun","department issued",36.62444,-121.838,"9","12","Monterey County","High",214
213,"Big Sky High School","3/16/2018",2018,12:45:00,"Friday","Missoula","Montana","public",1075,0,0,0,"targeted",NA,"m",NA,"resource officer",0,NA,NA,NA,NA,NA,NA,NA,903,17,58,21,70,6,0,1,"pistol","department issued",46.850867,-114.057737,"9","12","Missoula County","High",215
214,"Douglass Park Elementary School","3/19/2018",2018,16:23:00,"Monday","Portsmouth","Virginia","public",761,0,1,1,"unclear",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,5,738,8,2,1,0,7,0,NA,NA,36.81828,-76.3393,"KG","6","Portsmouth City","Elementary",216
215,"Great Mills High School","3/20/2018",2018,07:55:00,"Tuesday","Great Mills","Maryland","public",1535,1,1,2,"targeted",17,"m","w","student",1,"suicide",NA,NA,NA,NA,NA,NA,657,577,121,76,4,1,99,1,"Glock semi-automatic handgun","father",38.24743,-76.4875,"9","12","St. Mary's County","High",217
277,"Eupora High School","3/28/2018",2018,14:40:00,"Wednesday","Europa","Mississippi","public",472,0,0,0,"indiscriminate",20,"m","w",NA,NA,NA,NA,NA,NA,NA,NA,NA,310,142,4,0,0,0,16,0,"9mm handgun",NA,33.543141,-89.274143,"6","12","Webster County","High",218
278,"Jackson High School","4/19/2018",2018,13:44:00,"Thursday","Jackson","Michigan","public",1139,0,0,0,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577,342,75,33,3,2,107,0,"handgun",NA,42.2499,-84.4185,"9","12","Jackson County","High",219
216,"Forest High School","4/20/2018",2018,08:39:00,"Friday","Ocala","Florida","public",2181,0,1,1,"indiscriminate",19,"m",NA,"former student",0,NA,NA,NA,NA,NA,NA,NA,1396,336,298,24,16,2,109,1,"shotgun",NA,29.14362,-82.066682,"9","12","Marion County","High",220
279,"Benjamin Elijah Mays High School","4/23/2018",2018,13:00:00,"Monday","Atlanta","Georgia","public",1256,0,0,0,"targeted",19,"m","b",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1166,80,0,2,0,6,0,NA,NA,33.7339,-84.5038,"9","12","Fulton County","High",221
305,"Highland High School","4/25/2018",2018,14:30:00,"Wednesday","Albuquerque","New Mexico","public",1163,0,1,1,"targeted",NA,"m","h","father of student",0,NA,NA,NA,NA,NA,NA,NA,98,100,818,21,86,2,38,0,"handgun","owner's gun",35.074841,-106.592413,"9","12","Bernalillo County","High",222
218,"Highland High School","5/11/2018",2018,07:05:00,"Friday","Palmdale","California","public",2931,0,1,1,"targeted",14,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,462,453,1742,159,19,5,91,0,"rifle",NA,34.591755,-118.175561,"9","12","Los Angeles County","High",223
219,"Dixon High School","5/16/2018",2018,08:00:00,"Wednesday","Dixon","Illinois","public",803,0,0,0,"targeted",19,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,650,24,51,17,1,0,60,1,"rifle","mother",41.847128,-89.488508,"9","12","Lee County","High",224
220,"Santa Fe High School","5/18/2018",2018,07:30:00,"Friday","Santa Fe","Texas","public",1462,10,13,23,"indiscriminate",17,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,1136,10,278,8,9,1,20,1,"Remington 870 shotgun and a .38-caliber revolver",NA,29.393257,-95.143149,"9","12","Galveston County","High",225
221,"Noblesville West Middle School","5/25/2018",2018,09:06:00,"Friday","Noblesville","Indiana","public",1354,0,2,2,"targeted",13,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,1179,28,82,22,0,1,42,1,".22 caliber gun, .45 caliber gun",NA,40.07825,-86.029001,"6","8","Hamilton County","Middle",226
222,"Villa Heights Elementary School","8/30/2018",2018,07:30:00,"Thursday","Charlotte","North Carolina","public",100,0,0,0,"targeted",34,"m","b","former boyfriend of student's mother",0,NA,NA,NA,NA,NA,NA,NA,24,73,15,6,0,0,4,0,".45 caliber pistol","stolen",35.236843,-80.812768,"KG","5","Mecklenburg County","Elementary",227
223,"Canyon Springs High School","9/11/2018",2018,14:35:00,"Tuesday","North Las Vegas","Nevada","public",2887,1,0,1,"targeted",16,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,154,793,1757,56,4,18,105,1,NA,NA,36.233566,-115.135695,"9","12","Clark County","High",228
280,"Lawrence Orr Elementary School","9/24/2018",2018,09:00:00,"Monday","Charlotte","North Carolina","public",860,0,0,0,"targeted",24,"m","b",NA,NA,NA,NA,NA,NA,NA,NA,NA,27,292,423,92,0,1,25,0,NA,NA,35.225991,-80.743914,"PK","5","Mecklenburg County","Elementary",229
224,"Denali Montessori Elementary School","10/3/2018",2018,10:00:00,"Wednesday","Anchorage","Alaska","public",429,0,1,1,"targeted",26,"m","b","boyfriend of parent",0,NA,NA,NA,NA,NA,NA,NA,192,22,50,31,44,27,63,0,"Sig Sauer .40 caliber handgun",NA,61.213281,-149.881113,"PK","6","Anchorage Municipality","Elementary",230
225,"Battle Creek Academy","10/12/2018",2018,13:00:00,"Friday","Battle Creek","Michigan","private",111,0,0,0,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,17,9,26,0,0,6,0,NA,NA,42.33419,-85.207497,"KG","12","Calhoun County","High",231
226,"Paul Laurence Dunbar School","10/22/2018",2018,08:15:00,"Monday","Bridgeport","Connecticut","public",416,0,0,0,"targeted",18,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,139,186,2,2,0,14,0,"handgun",NA,41.177547,-73.164585,"PK","8","Fairfield County","High",232
227,"Butler High School","10/29/2018",2018,07:00:00,"Monday","Matthews","North Carolina","public",2133,1,0,1,"targeted",16,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,860,681,410,86,9,1,86,1,".380 pistol","stolen",35.1203,-80.6916,"9","12","Mecklenburg County","High",233
228,"Simonsdale Elementary School","11/20/2018",2018,15:45:00,"Tuesday","Portsmouth","Virginia","public",702,0,1,1,"accidental",29,"m","b","parent of student",0,NA,NA,NA,NA,NA,NA,NA,432,217,24,6,0,1,22,0,"handgun",NA,36.82682,-76.36628,"KG","5","Portsmouth City","Elementary",234
229,"Dennis Intermediate School","12/13/2018",2018,08:00:00,"Thursday","Richmond","Indiana","public",647,0,0,0,"indiscriminate",14,"m",NA,"student",1,"suicide",NA,NA,NA,NA,NA,NA,454,48,64,2,0,0,79,1,"handgun and a rifle",NA,39.832,-84.9114,"5","8","Wayne County","Middle",235
