"uid","school_name","date","year","time","day_of_week","city","state","school_type","enrollment","killed","injured","casualties","shooting_type","age_shooter1","gender_shooter1","race_ethnicity_shooter1","shooter_relationship1","shooter_deceased1","deceased_notes1","age_shooter2","gender_shooter2","race_ethnicity_shooter2","shooter_relationship2","shooter_deceased2","deceased_notes2","white","black","hispanic","asian","american_indian_alaska_native","hawaiian_native_pacific_islander","two_or_more","resource_officer","weapon","weapon_source","lat","long","low_grade","high_grade","county","school","id"
12,"Tecumseh High School","2/24/2000",2000,09:00:00,"Thursday","Tecumseh","Oklahoma","public",711,0,0,0,"targeted",19,"m",NA,"former boyfriend of student",0,NA,NA,NA,NA,NA,NA,NA,527,8,12,2,162,NA,NA,0,NA,NA,35.255494,-96.943184,"9","12","Pottawatomie County","High",12
13,"Buell Elementary School","2/29/2000",2000,10:00:00,"Tuesday","Mount Morris Township","Michigan","public",459,1,0,1,"targeted",6,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,125,261,37,0,1,NA,NA,0,".32-caliber semiautomatic handgun","uncle's friend, found in open shoebox",43.079604,-83.706037,"KG","4","Genesee County","Elementary",13
14,"Hugo High School","4/6/2000",2000,12:00:00,"Thursday","Hugo","Oklahoma","public",499,0,1,1,"targeted",33,"f",NA,"parent of student",0,NA,NA,NA,NA,NA,NA,NA,263,117,11,1,107,NA,NA,1,"small-caliber pistol","legally purchased by shooter",34.010732,-95.511435,"9","12","Choctaw County","High",14
15,"Carmichael Elementary School","5/10/2000",2000,13:30:00,"Wednesday","Sierra Vista","Arizona","public",397,1,0,1,"targeted",39,"m",NA,"spouse of teacher",1,"suicide",NA,NA,NA,NA,NA,NA,178,51,154,8,6,NA,NA,0,NA,NA,31.56269,-110.29924,"KG","5","Cochise County","Elementary",15
16,"Lake Worth Middle School","5/26/2000",2000,15:00:00,"Friday","Lake Worth","Florida","public",1525,1,0,1,"targeted",13,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,414,560,528,17,6,NA,NA,0,".25-caliber handgun","grandfather",26.451351,-80.085968,"6","8","Palm Beach County","Middle",16
17,"Dimmitt Middle School","7/17/2000",2000,10:30:00,"Monday","Renton","Washington","public",956,0,0,0,"indiscriminate",13,"m","w","student in summer school",0,NA,NA,NA,NA,NA,NA,NA,276,375,73,218,14,NA,NA,0,".22-caliber handgun","grandparents",47.493015,-122.233115,"6","8","King County","Middle",17
18,"Mount Healthy North Junior High","9/18/2000",2000,NA,"Monday","Mount Healthy","Ohio","public",341,0,0,0,"indiscriminate",14,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,149,192,0,0,0,NA,NA,1,".380-caliber semiautomatic handgun","relatives",39.251506,-84.555558,"7","8","Hamilton County","Junior-High",18
19,"Carter G. Woodson Middle School","9/26/2000",2000,12:00:00,"Tuesday","New Orleans","Louisiana","public",686,0,1,1,"targeted",13,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,0,685,1,0,0,NA,NA,0,".38-caliber revolver",NA,29.939676,-90.090046,"6","8","Orleans Parish","Middle",19
20,"Hueneme High School","1/10/2001",2001,12:50:00,"Wednesday","Oxnard","California","public",2764,0,0,0,"targeted",17,"m","h","not a student but often hung around the school",1,"killed by police",NA,NA,NA,NA,NA,NA,311,124,2145,134,50,NA,NA,1,"handgun",NA,34.160149,-119.1822,"9","12","Ventura County","High",20
21,"Lake Clifton Eastern High School","1/17/2001",2001,08:45:00,"Wednesday","Baltimore","Maryland","public",2236,1,0,1,"targeted",19,"m",NA,"none",0,NA,NA,NA,NA,NA,NA,NA,24,2205,2,4,1,NA,NA,0,".32-caliber handgun",NA,39.316116,-76.590038,"PK","12","Baltimore City","High",21
22,"Pearl C. Anderson Middle School","2/6/2001",2001,NA,"Tuesday","Dallas","Texas","public",879,0,1,1,"targeted",14,"m",NA,"student (suspended)",0,NA,NA,NA,NA,NA,NA,NA,3,793,82,0,1,NA,NA,1,"small revolver",NA,32.759323,-96.744389,"7","8","Dallas County","Middle",22
23,"Santana High School","3/5/2001",2001,09:20:00,"Monday","Santee","California","public",1894,2,13,15,"indiscriminate",15,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,1591,24,174,58,8,NA,NA,1,".22-caliber revolver","father",32.85756,-116.971045,"9","12","San Diego County","High",23
